Data,Fruta,Venda,Pais
2022-10-11,Laranja,97.0,Brasil
2022-02-04,Laranja,92.0,Brasil
2022-05-27,Laranja,55.0,Brasil
2022-11-22,Laranja,100.0,Brasil
2022-10-06,Laranja,83.0,Brasil
2022-07-13,Laranja,54.0,Brasil
2022-12-27,Laranja,68.0,Brasil
2022-10-20,Laranja,80.0,Brasil
2022-10-06,Laranja,98.0,Brasil
2022-04-04,Laranja,96.0,Brasil
2022-06-15,Laranja,86.0,Brasil
2022-11-08,Laranja,85.0,Brasil
2022-03-30,Laranja,67.0,Brasil
2022-12-28,Laranja,58.0,Brasil
2022-04-13,Laranja,80.0,Brasil
2022-02-03,Laranja,81.0,Brasil
2022-04-11,Laranja,53.0,Brasil
2022-07-28,Laranja,96.0,Brasil
2022-11-18,Laranja,94.0,Brasil
2022-05-29,Laranja,93.0,Brasil
2022-01-09,Laranja,51.0,Brasil
2022-05-26,Laranja,62.0,Brasil
2022-08-29,Laranja,51.0,Brasil
2022-02-18,Laranja,76.0,Brasil
2022-03-20,Laranja,52.0,Brasil
2022-08-19,Laranja,75.0,Brasil
2022-05-05,Laranja,58.0,Brasil
2022-03-30,Laranja,100.0,Brasil
2022-07-31,Laranja,67.0,Brasil
2022-05-23,Laranja,56.0,Brasil
2022-10-23,Laranja,66.0,Brasil
2022-04-07,Laranja,98.0,Brasil
2022-10-17,Laranja,96.0,Brasil
2022-03-12,Laranja,63.0,Brasil
2022-12-19,Laranja,82.0,Brasil
2022-03-18,Laranja,81.0,Brasil
2022-02-13,Laranja,64.0,Brasil
2022-12-08,Laranja,83.0,Brasil
2022-02-23,Laranja,92.0,Brasil
2022-11-16,Laranja,60.0,Brasil
2022-06-21,Laranja,55.0,Brasil
2022-09-27,Laranja,62.0,Brasil
2022-07-07,Laranja,86.0,Brasil
2022-04-27,Laranja,92.0,Brasil
2022-04-03,Laranja,68.0,Brasil
2022-08-08,Laranja,57.0,Brasil
2022-08-22,Maça,57.0,Brasil
2022-01-08,Maça,98.0,Brasil
2022-06-25,Maça,64.0,Brasil
2022-01-05,Maça,91.0,Brasil
2022-09-20,Maça,77.0,Brasil
2022-09-18,Maça,98.0,Brasil
2022-08-03,Maça,82.0,Brasil
2022-05-17,Maça,51.0,Brasil
2022-06-11,Maça,73.0,Brasil
2022-07-31,Maça,61.0,Brasil
2022-07-23,Maça,50.0,Brasil
2022-03-15,Maça,71.0,Brasil
2022-06-07,Maça,66.0,Brasil
2022-10-16,Maça,83.0,Brasil
2022-03-15,Maça,65.0,Brasil
2022-01-06,Maça,80.0,Brasil
2022-10-08,Maça,52.0,Brasil
2022-05-11,Maça,61.0,Brasil
2022-09-27,Maça,92.0,Brasil
2022-08-31,Maça,76.0,Brasil
2022-11-05,Maça,81.0,Brasil
2022-03-03,Maça,69.0,Brasil
2022-04-21,Maça,93.0,Brasil
2022-03-13,Maça,77.0,Brasil
2022-10-29,Maça,86.0,Brasil
2022-03-01,Maça,84.0,Brasil
2022-10-27,Maça,53.0,Brasil
2022-08-04,Maça,50.0,Brasil
2022-10-27,Maça,84.0,Brasil
2022-01-03,Maça,60.0,Brasil
2022-11-03,Maça,87.0,Brasil
2022-05-24,Maça,98.0,Brasil
2022-05-28,Maça,68.0,Brasil
2022-01-27,Maça,67.0,Brasil
2022-09-29,Maça,88.0,Brasil
2022-05-01,Maça,87.0,Brasil
2022-06-30,Maça,92.0,Brasil
2022-11-28,Maça,68.0,Brasil
2022-10-28,Maça,60.0,Brasil
2022-11-02,Maça,67.0,Brasil
2022-04-05,Maça,100.0,Brasil
2022-11-12,Maça,91.0,Brasil
2022-09-18,Maça,73.0,Brasil
2022-09-29,Maça,89.0,Brasil
2022-08-24,Maça,81.0,Brasil
2022-10-21,Maça,51.0,Brasil
2022-08-27,Maça,86.0,Brasil
2022-05-15,Maça,73.0,Brasil
2022-06-04,Maça,59.0,Brasil
2022-12-23,Maça,54.0,Brasil
2022-07-26,Maça,71.0,Brasil
2022-10-08,Maça,84.0,Brasil
2022-09-05,Maça,93.0,Brasil
2022-08-21,Maça,84.0,Brasil
2022-08-14,Maça,97.0,Brasil
2022-12-03,Maça,74.0,Brasil
2022-07-29,Maça,57.0,Brasil
2022-03-13,Maça,76.0,Brasil
2022-10-08,Maça,61.0,Brasil
2022-08-06,Maça,67.0,Brasil
2022-07-15,Maça,72.0,Brasil
2022-02-02,Maça,95.0,Brasil
2022-02-01,Maça,63.0,Brasil
2022-02-08,Maça,76.0,Brasil
2022-01-05,Maça,89.0,Brasil
2022-07-25,Maça,99.0,Brasil
2022-02-22,Maça,72.0,Brasil
2022-11-10,Maça,55.0,Brasil
2022-09-01,Maça,73.0,Brasil
2022-06-09,Maça,55.0,Brasil
2022-11-03,Maça,67.0,Brasil
2022-12-04,Maça,69.0,Brasil
2022-04-21,Maça,79.0,Brasil
2022-03-26,Maça,83.0,Brasil
2022-01-15,Maça,89.0,Brasil
2022-03-25,Maça,57.0,Brasil
2022-09-01,Maça,63.0,Brasil
2022-10-31,Maça,58.0,Brasil
2022-09-01,Maça,93.0,Brasil
2022-03-10,Maça,50.0,Brasil
2022-02-24,Maça,59.0,Brasil
2022-05-29,Maça,59.0,Brasil
2022-09-18,Maça,77.0,Brasil
2022-12-30,Maça,63.0,Brasil
2022-03-22,Maça,77.0,Brasil
2022-01-17,Maça,62.0,Brasil
2022-02-17,Maça,51.0,Brasil
2022-04-19,Maça,64.0,Brasil
2022-09-29,Maça,91.0,Brasil
2022-07-19,Maça,99.0,Brasil
2022-07-06,Maça,53.0,Brasil
2022-04-05,Maça,95.0,Brasil
2022-11-14,Maça,92.0,Brasil
2022-10-17,Maça,71.0,Brasil
2022-06-11,Maça,98.0,Brasil
2022-04-12,Maça,76.0,Brasil
2022-08-13,Maça,90.0,Brasil
2022-04-05,Maça,74.0,Brasil
2022-08-12,Maça,72.0,Brasil
2022-11-18,Maça,78.0,Brasil
2022-01-30,Maça,67.0,Brasil
2022-12-06,Maça,92.0,Brasil
2022-07-24,Maça,95.0,Brasil
2022-07-14,Maça,78.0,Brasil
2022-05-18,Maça,97.0,Brasil
2022-07-02,Maça,82.0,Brasil
2022-09-26,Maça,98.0,Brasil
2022-05-15,Maça,74.0,Brasil
2022-06-30,Maça,63.0,Brasil
2022-10-23,Maça,89.0,Brasil
2022-11-02,Maça,89.0,Brasil
2022-04-04,Maça,63.0,Brasil
2022-04-27,Maça,61.0,Brasil
2022-05-12,Maça,62.0,Brasil
2022-09-07,Maça,70.0,Brasil
2022-03-07,Maça,59.0,Brasil
2022-02-19,Maça,84.0,Brasil
2022-01-07,Maça,85.0,Brasil
2022-09-13,Maça,51.0,Brasil
2022-07-25,Maça,70.0,Brasil
2022-01-17,Maça,69.0,Brasil
2022-07-25,Maça,84.0,Brasil
2022-11-20,Maça,82.0,Brasil
2022-03-30,Maça,93.0,Brasil
2022-11-10,Maça,60.0,Brasil
2022-03-26,Maça,55.0,Brasil
2022-12-27,Maça,85.0,Brasil
2022-02-12,Maça,87.0,Brasil
2022-05-21,Maça,66.0,Brasil
2022-06-10,Maça,79.0,Brasil
2022-12-22,Maça,86.0,Brasil
2022-04-21,Maça,69.0,Brasil
2022-08-12,Maça,70.0,Brasil
2022-01-16,Maça,50.0,Brasil
2022-03-13,Maça,85.0,Brasil
2022-07-11,Maça,91.0,Brasil
2022-05-01,Maça,58.0,Brasil
2022-02-28,Maça,77.0,Brasil
2022-01-31,Maça,56.0,Brasil
2022-11-30,Maça,73.0,Brasil
2022-08-02,Maça,63.0,Brasil
2022-09-05,Maça,75.0,Brasil
2022-08-14,Maça,74.0,Brasil
2022-12-20,Maça,100.0,Brasil
2022-12-27,Maça,84.0,Brasil
2022-06-06,Maça,73.0,Brasil
2022-05-29,Maça,54.0,Brasil
2022-11-23,Maça,96.0,Brasil
2022-01-21,Maça,58.0,Brasil
2022-01-01,Maça,81.0,Brasil
2022-01-09,Maça,58.0,Brasil
2022-06-25,Maça,53.0,Brasil
2022-11-12,Maça,64.0,Brasil
2022-09-19,Manga,54.0,Brasil
2022-10-15,Manga,66.0,Brasil
2022-01-05,Manga,77.0,Brasil
2022-09-02,Manga,82.0,Brasil
2022-06-26,Manga,91.0,Brasil
2022-11-16,Manga,92.0,Brasil
2022-07-06,Manga,55.0,Brasil
2022-10-29,Manga,50.0,Brasil
2022-10-10,Manga,100.0,Brasil
2022-11-01,Manga,62.0,Brasil
2022-02-28,Manga,97.0,Brasil
2022-05-18,Manga,98.0,Brasil
2022-11-07,Manga,93.0,Brasil
2022-09-18,Manga,89.0,Brasil
2022-09-27,Manga,67.0,Brasil
2022-08-31,Manga,57.0,Brasil
2022-02-23,Manga,80.0,Brasil
2022-06-29,Manga,74.0,Brasil
2022-10-12,Manga,64.0,Brasil
2022-06-04,Manga,89.0,Brasil
2022-09-20,Manga,57.0,Brasil
2022-02-18,Manga,85.0,Brasil
2022-07-27,Manga,76.0,Brasil
2022-08-28,Manga,70.0,Brasil
2022-04-08,Manga,81.0,Brasil
2022-01-08,Manga,85.0,Brasil
2022-10-18,Manga,63.0,Brasil
2022-04-21,Manga,100.0,Brasil
2022-03-16,Manga,75.0,Brasil
2022-06-16,Manga,58.0,Brasil
2022-10-02,Manga,94.0,Brasil
2022-03-29,Manga,78.0,Brasil
2022-07-19,Manga,54.0,Brasil
2022-05-11,Manga,63.0,Brasil
2022-10-22,Manga,53.0,Brasil
2022-05-28,Manga,99.0,Brasil
2022-04-27,Manga,63.0,Brasil
2022-11-26,Manga,61.0,Brasil
2022-01-21,Manga,74.0,Brasil
2022-05-11,Manga,53.0,Brasil
2022-03-28,Manga,71.0,Brasil
2022-04-27,Manga,78.0,Brasil
2022-01-15,Manga,74.0,Brasil
2022-08-28,Manga,53.0,Brasil
2022-12-23,Manga,67.0,Brasil
2022-12-30,Manga,81.0,Brasil
2022-07-17,Manga,72.0,Brasil
2022-03-10,Manga,88.0,Brasil
2022-12-10,Manga,72.0,Brasil
2022-11-05,Manga,71.0,Brasil
2022-06-22,Manga,61.0,Brasil
2022-03-28,Manga,92.0,Brasil
2022-08-09,Manga,62.0,Brasil
2022-07-03,Manga,91.0,Brasil
2022-09-28,Manga,61.0,Brasil
2022-03-21,Manga,77.0,Brasil
2022-03-14,Manga,59.0,Brasil
2022-06-06,Manga,61.0,Brasil
2022-07-30,Manga,61.0,Brasil
2022-04-06,Manga,65.0,Brasil
2022-03-03,Manga,91.0,Brasil
2022-03-20,Manga,63.0,Brasil
2022-03-13,Manga,76.0,Brasil
2022-04-04,Manga,89.0,Brasil
2022-05-24,Manga,100.0,Brasil
2022-03-07,Manga,97.0,Brasil
2022-01-31,Manga,89.0,Brasil
2022-10-12,Manga,76.0,Brasil
2022-08-22,Manga,64.0,Brasil
2022-10-04,Manga,84.0,Brasil
2022-04-10,Manga,67.0,Brasil
2022-04-23,Manga,75.0,Brasil
2022-02-15,Manga,62.0,Brasil
2022-10-08,Manga,65.0,Brasil
2022-01-16,Manga,93.0,Brasil
2022-09-14,Manga,80.0,Brasil
2022-07-01,Manga,81.0,Brasil
2022-01-14,Manga,89.0,Brasil
2022-04-06,Manga,91.0,Brasil
2022-11-10,Manga,50.0,Brasil
2022-10-22,Manga,79.0,Brasil
2022-03-30,Manga,91.0,Brasil
2022-01-02,Manga,61.0,Brasil
2022-05-13,Manga,91.0,Brasil
2022-04-13,Manga,84.0,Brasil
2022-01-19,Manga,76.0,Brasil
2022-02-28,Manga,92.0,Brasil
2022-04-24,Manga,72.0,Brasil
2022-11-27,Manga,59.0,Brasil
2022-05-14,Manga,64.0,Brasil
2022-12-08,Mango,96.0,Brasil
2022-04-13,Mango,71.0,Brasil
2022-04-10,Mango,86.0,Brasil
2022-02-21,Mango,57.0,Brasil
2022-03-11,Mango,93.0,Brasil
2022-09-22,Mango,51.0,Brasil
2022-08-10,Mango,70.0,Brasil
2022-10-31,Mango,52.0,Brasil
2022-07-10,Mango,92.0,Brasil
2022-12-02,Mango,82.0,Brasil
2022-07-08,Mango,82.0,Brasil
2022-01-12,Mango,73.0,Brasil
2022-09-19,Mango,64.0,Brasil
2022-05-01,Mango,59.0,Brasil
2022-12-20,Mango,94.0,Brasil
2022-12-09,Mango,71.0,Brasil
2022-10-18,Mango,91.0,Brasil
2022-08-11,Mango,74.0,Brasil
